Asset No.,Department,Capitalization Date,QTY,Overall QTY,BUn,Asset description,Other Identifiers,,Status,Corrective Action Taken                                                                              ,
3394,Electrical,5/31/2015,1,1,SET,"PYROMETER, PYROSPOT DG-54N (ELE)",Installed in S102 BC,,Operational In Good Condition,,
2393,Electrical,10/31/1986,1,1,PC,Bench Vise Grip,Found Operational@ ELE Overhauling Shop,,Operational In Good Condition,,
2392,Electrical,12/3/1986,1,1,PC,Electric Grinder,Found Operational @ ELE Overhauling Shop S/N: N570015,,Operational In Good Condition,,
2385,Electrical,9/2/1988,1,1,PC,Meter VSWR Power SW-200/2000,Found Operational@ ELE Instru Shop. S/N: 7101022,,Operational In Good Condition,,
2388,Electrical,9/2/1988,2,2,PC,Oscilloscope Tpye LBD-518 100MHZ * 1 item Damaged,Found @ ELE Instru Shop;  S/N 8050163 = OPERATIONAL.  S/N 8050160 = DAMAGED,,Operational In Good Condition,,
2383,Electrical,11/26/1988,4,4,PC,Crimping Tools MH-11/83-001 *1 item Not Found (Unverified),"3 out of 4 Found - operational; 1 pc - Brand: Izumi (small size); 1 pc - Brand: Greenlee (medium size), 2010 ; 1 pc - Brand: Rong Yunn (large size), old",,Operational In Good Condition,,
2379,Electrical,12/31/1988,1,1,PC,SPM Bearing Analyzer BEA-52,Found - operational but replaced with Asset 3949; S/N 725032. Department retains this as spare tool,,Operational Spare Unit,,
2377,Electrical,7/31/1989,1,1,PC,Plier Retaining Ring 150mm w/ 7 tip,Found - operational; Brand: Knipex,,Operational In Good Condition,,
2376,Electrical,5/18/1991,2,2,PC,Threader Pipe 1/8 to 1 cap,Found - operational; Brand: Ridgid (1 pc 1/8 CAP and 1 pc 1 CAP),,Operational In Good Condition,,
2370,Electrical,2/4/1993,1,1,PC,Benders Hydraulic Pipe Izume CAT,"Found @ ELE Tool Room, Brand: Izumi",,Operational In Good Condition,,
2371,Electrical,2/4/1993,1,1,PC,Hydraulic Hand Crimping Tool,Found Operational @ELE OPN Shop,,Operational In Good Condition,,
2365,Electrical,1/15/1996,1,1,PC,"Heater,SKF Bearing Induction","Found@ Overhauling Shop Operational; S/N: 166000, TIH060",,Operational In Good Condition,,
2270,Electrical,5/31/2000,1,1,un,Resistance Decadence Box,Found @ ELE Instru Shop Operational; S/N: 00519N,,Operational In Good Condition,,
2359,Electrical,5/31/2000,1,1,un,Resistance Decadence Box,Not tagged,,Operational In Good Condition,,
2358,Electrical,7/6/2000,1,1,PC,Digital Tachometer,Not tagged,,Operational In Good Condition,,
2334,Electrical,1/26/2006,1,1,PC,Portable Grease gun battery operated,Found - Operational; Brand: Makita; S/N: BL180B,,Operational In Good Condition,,
2989,Electrical,2/1/2013,1,1,SET,"OIL TESTER, PORTABLE, DIELECTRIC, BA80 (ELE)",Found - Operational with slight damage (For repair LCD replacement),,Operational In Good Condition,,
3270,Electrical,9/30/2014,1,1,UN,"MILLIAMP (mA)  PROCESS CLAMP METER, FLUKE 771 (ELE)",Found - Operational,,Operational In Good Condition,,
3271,Electrical,9/30/2014,1,1,UN,"MILLIAMP (mA)  PROCESS CLAMP METER, FLUKE 771 (ELE)",Found - Operational; S/N: 27410032,,Operational In Good Condition,,
3949,Electrical,1/31/2020,1,1,UN,SKF MICROLOG ANALYZER GXCMXA75-F-K-SL; CAPEX200235,Found - operational; S/N: 1901625; with Laptop (with issue regarding software) Brand/S/N: HP Probook/ SCD9230JVT,,Operational In Good Condition,,
4154,Electrical,10/31/2022,1,1,PC,COMMUNICATOR; BRAIN TERMINAL BT200-N00 YOKOGAWA,Found - operational but obsolete item. Department retains this as spare tool.,,Operational Spare Unit,,
4207,Electrical,4/30/2023,1,1,PC,INFRARED SENSOR; FLUKE THERMALERT 4.0 PYROMETER,Found - operational. Used as reference instrument during calibration,,Operational In Good Condition,,
4295,Electrical,12/31/2023,1,1,PC,"VACUUM CALIBRATION PUMP, BEAMEX PGV (ELE)","Found - operational; 3 pcs per set, 1 pc multicalibrator, 1 pc vacuum calibration pump, 1pc beamex PGV",,Operational In Good Condition,,
3672,Electrical,6/30/2017,1,1,UN,MULTIFUNCTION CA150 CALIBRATOR – BRAND: YOKOGAWA,Found - operational but with power supply issue,,Operational In Good Condition,,
2396,Electrical,8/16/1986,1,1,PC,Frequency Counter LDL-824S,Found @ ELE Instru. Operational. S/N : 5080202 (LDC 824 Digital Counter),,Operational In Good Condition,,
2389,Electrical,1/20/1988,1,1,PC,Tester Initiator 2/EX-PN-0719,Found Operational. (Brand : Pepperl + Fuchs 6800 Mannheim),,Operational In Good Condition,,
2382,Electrical,11/26/1988,2,2,PC,"Hammer Rawhide Face 2-3/4,6-1/4",Found @ ELE Tool Room. Operational. Wooden Hammer,,Operational In Good Condition,,
2380,Electrical,12/31/1988,1,1,PC,Dual Trace Oscilloscope,Found Operational @ ELE Instru,,Operational In Good Condition,,
2372,Electrical,9/8/1992,1,1,PC,Hydraulic Puller 30T Cap Master,Found @ ELE Tool Room. Operational. Four (4) Pcs Set,,Operational In Good Condition,,
2369,Electrical,1/3/1994,1,1,PC,Portable Infrared Thermal Scanner,"Found Operational -Old Unit (Brand: Mikron M90-B, S/N:46979)",,Operational In Good Condition,,
2367,Electrical,6/19/1995,1,1,PC,"Utility Press Drill,15,Five-Speed","Found Operational @Overhauling Shop. Brand : TradeMark, S/N : 801586",,Operational In Good Condition,,
2363,Electrical,9/20/1996,1,1,PC,"Tester,Megger Insulation,500VDC",Found Operational @ ELE Office. (S/N : 101582473 - MIT 320),,Operational In Good Condition,,
2357,Electrical,7/31/2000,1,1,PC,Digital Multimeter Type 1906,"Found Operational @ ELE Instru. (Brand : Thandar Instruments ,S/N : 118991)",,Operational In Good Condition,,
2354,Electrical,8/18/2000,1,1,PC,Puller Combination 2-jaw,Found Operational @ ELE Tool Room. Three (3) Pcs. Set,,Operational In Good Condition,,
3235,Electrical,7/31/2014,1,1,UN,"DIGITAL CLAMP METER, DCM400 SERIES (ELE)",Found Operational @ ELE Office. (BRAND : SANWA),,Operational In Good Condition,,
3295,Electrical,11/30/2014,1,1,UN,"LASER DISTANCE METER, BRAND – FLUKE 414D (ELE)",Found Operational @ ELE Instru (BRAND : FLUKE),,Operational In Good Condition,,
