Asset No.,SNo.,Capitalization Date,Quantity,BUn,Asset Description,ODep.Start,   Cum.acq.value,      Accum.dep.,    End book val,Life,Class,Asset Class Description,Cost Ctr,Cost Center Desc,Dept,Location,GL Account,GL Account Description,  Start book.val,   Trans.acq.val,         PlndDep,   Pld.unpl.dep., Sep.pln.ord.dep, Sep.cum.ord.dep, Sep.cum.acq.val,   Trns.ord.dep.
2328,0,1/24/2004,7,PC,Chipping Hammer Elect Type,2/1/2004,"143,960.09","-143,959.09",1,005/000,10700040,FOH-Tools and equipment,21500,"B/L PLANT, COMMON",BLP,BLM,164500,Tools and Equipment,1,0,0,0,0,"-85,010.39","85,011.39",0
2316,0,5/4/2004,2,PC,Chipping Hammer (elect.type),5/1/2004,"41,131.46","-41,130.46",1,005/000,10700040,FOH-Tools and equipment,21500,"B/L PLANT, COMMON",BLP,BLM,164500,Tools and Equipment,1,0,0,0,0,"-41,999.00","42,000.00",0
2318,0,5/4/2004,2,PC,Chipping Hammer (elect.type),5/1/2004,"20,565.73","-20,564.73",1,005/000,10700040,FOH-Tools and equipment,21500,"B/L PLANT, COMMON",BLP,BLM,164500,Tools and Equipment,1,0,0,0,0,"-45,933.56","45,934.56",0
2923,0,6/30/2012,1,PC,"FLOWMETER,BUNKER,  EG LS5276-400A, OVAL FLOWPET",7/1/2012,"35,150.00","-35,149.00",1,005/000,10700040,FOH-Tools and equipment,21500,"B/L PLANT, COMMON",BLP,BLM,164500,Tools and Equipment,1,0,0,0,0,"-9,292.71","9,293.71",0
3095,0,8/29/2013,1,UN,"VISE, BENCH JAW (BLM)",9/1/2013,"9,700.00","-9,699.00",1,005/000,10700040,FOH-Tools and equipment,21500,"B/L PLANT, COMMON",BLP,BLM,164500,Tools and Equipment,1,0,0,0,0,"-9,292.71","9,293.71",0
3291,0,10/31/2014,1,UN,"FLOWMETER, OVAL FLOWPET 22MM FOR KILN 1 (ELE)",10/1/2014,"94,815.00","-94,814.00",1,005/000,10700040,FOH-Tools and equipment,21601,KILN-1,BLP,BLM,164500,Tools and Equipment,1,0,0,0,0,"-9,292.72","9,293.72",0
3495,0,3/1/2015,1,UN,UNINTERRUPTIBLE POWER SUPPLY (UPS) FOR BLP/HLP-ELE,3/1/2015,"523,770.00","-523,769.00",1,005/000,10700040,FOH-Tools and equipment,21500,"B/L PLANT, COMMON",BLP,BLM,164500,Tools and Equipment,1,0,0,0,0,"-9,292.71","9,293.71",0
3449,0,8/31/2015,1,UN,"INVERTER, POWERFLEX 525 – BRAND ALLEN BRADLEY (ELE",9/1/2015,"26,330.00","-26,329.00",1,005/000,10700040,FOH-Tools and equipment,21601,KILN-1,BLP,BLM,164500,Tools and Equipment,1,0,0,0,0,"-9,292.71","9,293.71",0
3450,0,8/31/2015,1,UN,"INVERTER, POWERFLEX 525 – BRAND ALLEN BRADLEY (ELE",9/1/2015,"26,330.00","-26,329.00",1,005/000,10700040,FOH-Tools and equipment,21602,KILN-2,BLP,BLM,164500,Tools and Equipment,1,0,0,0,0,"-5,082.22","5,083.22",0
2396,0,8/16/1986,1,PC,Frequency Counter LDL-824S,8/16/1986,"17,762.50","-17,761.50",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-2,949.00","2,950.00",0
2393,0,10/31/1986,1,PC,Bench Vise Grip,10/31/1986,"2,448.00","-2,447.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-9,627.97","9,628.97",0
2392,0,12/3/1986,1,PC,Electric Grinder,12/3/1986,"4,358.25","-4,357.25",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-6,767.15","6,768.15",0
2389,0,1/20/1988,1,PC,Tester Initiator 2/EX-PN-0719,1/20/1988,"7,325.08","-7,324.08",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-17,761.50","17,762.50",0
2385,0,9/2/1988,1,PC,Meter VSWR Power SW-200/2000,9/2/1988,"4,007.63","-4,006.63",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-8,217.80","8,218.80",0
2386,0,9/2/1988,2,PC,Generator Swemar Type LSW-251,9/2/1988,"38,000.00","-37,999.00",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-107,937.45","107,938.45",0
2387,0,9/2/1988,1,PC,Oscilloscope Dual 350MHZ VP 55358,9/2/1988,"237,286.36","-237,285.36",1,005/000,10700040,FOH-Tools and equipment,34100,ELECTRICAL,ELE,ELECT,164500,Tools and Equipment,1,0,0,0,0,"-8,808.04","8,809.04",0
